Epoka [1/200] | Batch [1791/6813] | Loss: 0.2437
Epoka [1/200] | Batch [1801/6813] | Loss: 0.2614
Epoka [1/200] | Batch [1811/6813] | Loss: 0.4254
Epoka [1/200] | Batch [1821/6813] | Loss: 0.3955
Epoka [1/200] | Batch [1831/6813] | Loss: 0.4028
Epoka [1/200] | Batch [1841/6813] | Loss: 0.2883
Epoka [1/200] | Batch [1851/6813] | Loss: 0.2969
Epoka [1/200] | Batch [1861/6813] | Loss: 0.3531
Epoka [1/200] | Batch [1871/6813] | Loss: 0.2616
Epoka [1/200] | Batch [1881/6813] | Loss: 0.1102
Epoka [1/200] | Batch [1891/6813] | Loss: 0.3611
Epoka [1/200] | Batch [1901/6813] | Loss: 0.1405
Epoka [1/200] | Batch [1911/6813] | Loss: 0.3497
Epoka [1/200] | Batch [1921/6813] | Loss: 0.0983
Epoka [1/200] | Batch [1931/6813] | Loss: 0.3934
Epoka [1/200] | Batch [1941/6813] | Loss: 0.3164
Epoka [1/200] | Batch [1951/6813] | Loss: 0.2932
Epoka [1/200] | Batch [1961/6813] | Loss: 0.2498
Epoka [1/200] | Batch [1971/6813] | Loss: 0.3348
Epoka [1/200] | Batch [1981/6813] | Loss: 0.4798
Epoka [1/200] | Batch [1991/6813] | Loss: 0.4240
Epoka [1/200] | Batch [2001/6813] | Loss: 0.2397
Epoka [1/200] | Batch [2011/6813] | Loss: 0.2460
Epoka [1/200] | Batch [2021/6813] | Loss: 0.3225
Epoka [1/200] | Batch [2031/6813] | Loss: 0.1899
Epoka [1/200] | Batch [2041/6813] | Loss: 0.2554
Epoka [1/200] | Batch [2051/6813] | Loss: 0.2978
Epoka [1/200] | Batch [2061/6813] | Loss: 0.2602
Epoka [1/200] | Batch [2071/6813] | Loss: 0.2680
Epoka [1/200] | Batch [2081/6813] | Loss: 0.2316
Epoka [1/200] | Batch [2091/6813] | Loss: 0.3198
Epoka [1/200] | Batch [2101/6813] | Loss: 0.2290
Epoka [1/200] | Batch [2111/6813] | Loss: 0.2053
Epoka [1/200] | Batch [2121/6813] | Loss: 0.3416
Epoka [1/200] | Batch [2131/6813] | Loss: 0.2538
Epoka [1/200] | Batch [2141/6813] | Loss: 0.2564
Epoka [1/200] | Batch [2151/6813] | Loss: 0.2931
Epoka [1/200] | Batch [2161/6813] | Loss: 0.2267
Epoka [1/200] | Batch [2171/6813] | Loss: 0.4983
Epoka [1/200] | Batch [2181/6813] | Loss: 0.3230
Epoka [1/200] | Batch [2191/6813] | Loss: 0.2853
Epoka [1/200] | Batch [2201/6813] | Loss: 0.2476
Epoka [1/200] | Batch [2211/6813] | Loss: 0.2573
Epoka [1/200] | Batch [2221/6813] | Loss: 0.2830
Epoka [1/200] | Batch [2231/6813] | Loss: 0.3227
Epoka [1/200] | Batch [2241/6813] | Loss: 0.3793
Epoka [1/200] | Batch [2251/6813] | Loss: 0.1908
Epoka [1/200] | Batch [2261/6813] | Loss: 0.3738
Epoka [1/200] | Batch [2271/6813] | Loss: 0.3381
Epoka [1/200] | Batch [2281/6813] | Loss: 0.1719
Epoka [1/200] | Batch [2291/6813] | Loss: 0.2587
Epoka [1/200] | Batch [2301/6813] | Loss: 0.3381
Epoka [1/200] | Batch [2311/6813] | Loss: 0.2872
Epoka [1/200] | Batch [2321/6813] | Loss: 0.4243
Epoka [1/200] | Batch [2331/6813] | Loss: 0.2001
Epoka [1/200] | Batch [2341/6813] | Loss: 0.2143
Epoka [1/200] | Batch [2351/6813] | Loss: 0.3476
Epoka [1/200] | Batch [2361/6813] | Loss: 0.3129
Epoka [1/200] | Batch [2371/6813] | Loss: 0.2972
Epoka [1/200] | Batch [2381/6813] | Loss: 0.3070
Epoka [1/200] | Batch [2391/6813] | Loss: 0.1730
Epoka [1/200] | Batch [2401/6813] | Loss: 0.2641
Epoka [1/200] | Batch [2411/6813] | Loss: 0.3100
Epoka [1/200] | Batch [2421/6813] | Loss: 0.2983
Epoka [1/200] | Batch [2431/6813] | Loss: 0.3253
Epoka [1/200] | Batch [2441/6813] | Loss: 0.3938
Epoka [1/200] | Batch [2451/6813] | Loss: 0.4673
Epoka [1/200] | Batch [2461/6813] | Loss: 0.3482
Epoka [1/200] | Batch [2471/6813] | Loss: 0.4286
Epoka [1/200] | Batch [2481/6813] | Loss: 0.3127
Epoka [1/200] | Batch [2491/6813] | Loss: 0.2862
Epoka [1/200] | Batch [2501/6813] | Loss: 0.3163
Epoka [1/200] | Batch [2511/6813] | Loss: 0.4915
Epoka [1/200] | Batch [2521/6813] | Loss: 0.2268
Epoka [1/200] | Batch [2531/6813] | Loss: 0.2994
Epoka [1/200] | Batch [2541/6813] | Loss: 0.4327
Epoka [1/200] | Batch [2551/6813] | Loss: 0.3942
Epoka [1/200] | Batch [2561/6813] | Loss: 0.3928
Epoka [1/200] | Batch [2571/6813] | Loss: 0.3772
Epoka [1/200] | Batch [2581/6813] | Loss: 0.3661
Epoka [1/200] | Batch [2591/6813] | Loss: 0.3363
Epoka [1/200] | Batch [2601/6813] | Loss: 0.3217
Epoka [1/200] | Batch [2611/6813] | Loss: 0.2833
Epoka [1/200] | Batch [2621/6813] | Loss: 0.1489
Epoka [1/200] | Batch [2631/6813] | Loss: 0.4683
Epoka [1/200] | Batch [2641/6813] | Loss: 0.3242
Epoka [1/200] | Batch [2651/6813] | Loss: 0.3951
Epoka [1/200] | Batch [2661/6813] | Loss: 0.2032
Epoka [1/200] | Batch [2671/6813] | Loss: 0.2209
Epoka [1/200] | Batch [2681/6813] | Loss: 0.4327
Epoka [1/200] | Batch [2691/6813] | Loss: 0.2160
Epoka [1/200] | Batch [2701/6813] | Loss: 0.3543
Epoka [1/200] | Batch [2711/6813] | Loss: 0.2817
Epoka [1/200] | Batch [2721/6813] | Loss: 0.2085
Epoka [1/200] | Batch [2731/6813] | Loss: 0.2374
Epoka [1/200] | Batch [2741/6813] | Loss: 0.2394
Epoka [1/200] | Batch [2751/6813] | Loss: 0.3117
Epoka [1/200] | Batch [2761/6813] | Loss: 0.1954
Epoka [1/200] | Batch [2771/6813] | Loss: 0.2929
Epoka [1/200] | Batch [2781/6813] | Loss: 0.1062
Epoka [1/200] | Batch [2791/6813] | Loss: 0.3030
Epoka [1/200] | Batch [2801/6813] | Loss: 0.3252
Epoka [1/200] | Batch [2811/6813] | Loss: 0.2908
Epoka [1/200] | Batch [2821/6813] | Loss: 0.2844
Epoka [1/200] | Batch [2831/6813] | Loss: 0.3178
Epoka [1/200] | Batch [2841/6813] | Loss: 0.2445
Epoka [1/200] | Batch [2851/6813] | Loss: 0.4492
Epoka [1/200] | Batch [2861/6813] | Loss: 0.3695
Epoka [1/200] | Batch [2871/6813] | Loss: 0.2893
Epoka [1/200] | Batch [2881/6813] | Loss: 0.3233
Epoka [1/200] | Batch [2891/6813] | Loss: 0.4166
Epoka [1/200] | Batch [2901/6813] | Loss: 0.2582
Epoka [1/200] | Batch [2911/6813] | Loss: 0.2930
Epoka [1/200] | Batch [2921/6813] | Loss: 0.4065
Epoka [1/200] | Batch [2931/6813] | Loss: 0.3439
Epoka [1/200] | Batch [2941/6813] | Loss: 0.1887
Epoka [1/200] | Batch [2951/6813] | Loss: 0.2651
Epoka [1/200] | Batch [2961/6813] | Loss: 0.4408
Epoka [1/200] | Batch [2971/6813] | Loss: 0.1255
Epoka [1/200] | Batch [2981/6813] | Loss: 0.2024
Epoka [1/200] | Batch [2991/6813] | Loss: 0.2085
Epoka [1/200] | Batch [3001/6813] | Loss: 0.2695
Epoka [1/200] | Batch [3011/6813] | Loss: 0.3068
Epoka [1/200] | Batch [3021/6813] | Loss: 0.2981
Epoka [1/200] | Batch [3031/6813] | Loss: 0.2630
Epoka [1/200] | Batch [3041/6813] | Loss: 0.2453
Epoka [1/200] | Batch [3051/6813] | Loss: 0.2119
Epoka [1/200] | Batch [3061/6813] | Loss: 0.2126
Epoka [1/200] | Batch [3071/6813] | Loss: 0.2427
Epoka [1/200] | Batch [3081/6813] | Loss: 0.2502
Epoka [1/200] | Batch [3091/6813] | Loss: 0.2879
Epoka [1/200] | Batch [3101/6813] | Loss: 0.2872
Epoka [1/200] | Batch [3111/6813] | Loss: 0.2301
Epoka [1/200] | Batch [3121/6813] | Loss: 0.2555
Epoka [1/200] | Batch [3131/6813] | Loss: 0.3685
Epoka [1/200] | Batch [3141/6813] | Loss: 0.3032
Epoka [1/200] | Batch [3151/6813] | Loss: 0.2529
Epoka [1/200] | Batch [3161/6813] | Loss: 0.2302
Epoka [1/200] | Batch [3171/6813] | Loss: 0.1597
Epoka [1/200] | Batch [3181/6813] | Loss: 0.2578
Epoka [1/200] | Batch [3191/6813] | Loss: 0.2455
Epoka [1/200] | Batch [3201/6813] | Loss: 0.2351
Epoka [1/200] | Batch [3211/6813] | Loss: 0.3022
Epoka [1/200] | Batch [3221/6813] | Loss: 0.0905
Epoka [1/200] | Batch [3231/6813] | Loss: 0.3067
Epoka [1/200] | Batch [3241/6813] | Loss: 0.2835
Epoka [1/200] | Batch [3251/6813] | Loss: 0.3773
Epoka [1/200] | Batch [3261/6813] | Loss: 0.2003
Epoka [1/200] | Batch [3271/6813] | Loss: 0.2584
Epoka [1/200] | Batch [3281/6813] | Loss: 0.2105
Epoka [1/200] | Batch [3291/6813] | Loss: 0.2641
Epoka [1/200] | Batch [3301/6813] | Loss: 0.1936
Epoka [1/200] | Batch [3311/6813] | Loss: 0.2588
Epoka [1/200] | Batch [3321/6813] | Loss: 0.3221
Epoka [1/200] | Batch [3331/6813] | Loss: 0.1348
Epoka [1/200] | Batch [3341/6813] | Loss: 0.2673
Epoka [1/200] | Batch [3351/6813] | Loss: 0.3857
Epoka [1/200] | Batch [3361/6813] | Loss: 0.2775
Epoka [1/200] | Batch [3371/6813] | Loss: 0.3598
